[1.69636516e-01 4.40802023e-01 8.81428970e-01 4.70350176e+02],[-2.00193277e-01 -8.60330591e-01  4.68779186e-01  4.07625599e+02],[ 9.64959120e-01 -2.55978222e-01 -5.76978827e-02 -8.43734033e+02],[0. 0. 0. 1.]
[2.49265993e-01 4.37505422e-01 8.63976545e-01 4.71744890e+02],[-3.73365703e-01 -7.79753516e-01  5.02575871e-01  4.06261087e+02],[ 8.93568417e-01 -4.47854283e-01 -3.10165153e-02 -8.45545063e+02],[0. 0. 0. 1.]
[2.05990763e-01 3.95708657e-01 8.94976237e-01 4.75887718e+02],[-2.87203063e-01 -8.49863939e-01  4.41866141e-01  4.06570924e+02],[ 9.35458287e-01 -3.48060260e-01 -6.14153828e-02 -8.54239624e+02],[0. 0. 0. 1.]
[1.74454053e-01 3.47625509e-01 9.21261249e-01 4.75288798e+02],[-2.77887302e-01 -8.80195763e-01  3.84751955e-01  4.02138403e+02],[ 9.44639842e-01 -3.23128341e-01 -5.69530036e-02 -8.46355304e+02],[0. 0. 0. 1.]
[1.57447145e-01 4.16097961e-01 8.95585218e-01 4.79276033e+02],[-2.03577903e-01 -8.73740845e-01  4.41738581e-01  3.95501155e+02],[ 9.66315908e-01 -2.51871840e-01 -5.28596512e-02 -8.56516875e+02],[0. 0. 0. 1.]
[2.06901237e-01 4.26010059e-01 8.80742475e-01 4.71353544e+02],[-2.57286561e-01 -8.44843774e-01  4.69087010e-01  3.98764753e+02],[ 9.43925582e-01 -3.23657885e-01 -6.51925587e-02 -8.53791443e+02],[0. 0. 0. 1.]
[1.93620677e-01 3.76795669e-01 9.05834454e-01 4.79431804e+02],[-2.12908825e-01 -8.85164728e-01  4.13706704e-01  4.07296662e+02],[ 9.57695602e-01 -2.72962321e-01 -9.11630710e-02 -8.47135161e+02],[0. 0. 0. 1.]
[1.53623255e-01 3.43207396e-01 9.26611342e-01 4.72967017e+02],[-2.71849546e-01 -8.86876881e-01  3.73560199e-01  4.05194389e+02],[ 9.49998800e-01 -3.09286407e-01 -4.29441381e-02 -8.50219546e+02],[0. 0. 0. 1.]
[1.65482190e-01 3.23896465e-01 9.31507770e-01 4.79149421e+02],[-3.34640462e-01 -8.70051189e-01  3.61976091e-01  4.05348819e+02],[ 9.27702218e-01 -3.71620787e-01 -3.55891133e-02 -8.45939671e+02],[0. 0. 0. 1.]
[1.92327210e-01 3.55289925e-01 9.14756423e-01 4.70314989e+02],[-3.78144378e-01 -8.33341565e-01  4.03173245e-01  4.01105939e+02],[ 9.05547941e-01 -4.23451184e-01 -2.59233701e-02 -8.53742673e+02],[0. 0. 0. 1.]
[1.60546488e-01 3.53791505e-01 9.21442562e-01 4.73702652e+02],[-2.38710479e-01 -8.91921648e-01  3.84048280e-01  4.03480867e+02],[ 9.57727588e-01 -2.81615598e-01 -5.87411480e-02 -8.54289481e+02],[0. 0. 0. 1.]
[2.12525076e-01 4.61921267e-01 8.61081782e-01 4.80833571e+02],[-2.69812068e-01 -8.19213471e-01  5.06054086e-01  4.02079178e+02],[ 9.39166940e-01 -3.39879439e-01 -4.94714728e-02 -8.43914012e+02],[0. 0. 0. 1.]
[2.06518587e-01 4.07468428e-01 8.89561439e-01 4.78814874e+02],[-2.26223063e-01 -8.64641653e-01  4.48573224e-01  4.01612915e+02],[ 9.51931299e-01 -2.93878022e-01 -8.63858162e-02 -8.51517394e+02],[0. 0. 0. 1.]
[1.65190394e-01 3.27735935e-01 9.30215722e-01 4.71958262e+02],[-2.12822289e-01 -9.09107449e-01  3.58092612e-01  3.97084941e+02],[ 9.63025860e-01 -2.57124099e-01 -8.04263057e-02 -8.44848644e+02],[0. 0. 0. 1.]
[1.60728335e-01 4.06976691e-01 8.99186508e-01 4.77340613e+02],[-1.36164803e-01 -8.93176743e-01  4.28595908e-01  3.95138707e+02],[ 9.77561020e-01 -1.91325060e-01 -8.81429096e-02 -8.47466361e+02],[0. 0. 0. 1.]
[2.12263926e-01 4.68180081e-01 8.57759545e-01 4.76216733e+02],[-2.28303793e-01 -8.29711812e-01  5.09367928e-01  4.06175354e+02],[ 9.50169145e-01 -3.03950194e-01 -6.92305981e-02 -8.54500386e+02],[0. 0. 0. 1.]
[1.62830443e-01 4.23851706e-01 8.90974735e-01 4.79305285e+02],[-2.32731330e-01 -8.61045534e-01  4.52146787e-01  4.06039682e+02],[ 9.58813003e-01 -2.80980997e-01 -4.15608544e-02 -8.43496522e+02],[0. 0. 0. 1.]
[1.41427788e-01 3.57508127e-01 9.23139274e-01 4.75759741e+02],[-1.89526026e-01 -9.05484693e-01  3.79706934e-01  4.04889327e+02],[ 9.71636797e-01 -2.28660030e-01 -6.03036029e-02 -8.43167550e+02],[0. 0. 0. 1.]
[1.38448216e-01 3.59779222e-01 9.22708515e-01 4.79583667e+02],[-1.80450432e-01 -9.06921037e-01  3.80699191e-01  4.03136993e+02],[ 9.73791422e-01 -2.19210274e-01 -6.06392833e-02 -8.46323821e+02],[0. 0. 0. 1.]
[1.85890375e-01 4.67353961e-01 8.64306105e-01 4.76446379e+02],[-1.53903729e-01 -8.54930978e-01  4.95385371e-01  4.01087708e+02],[ 9.70442379e-01 -2.25107305e-01 -8.69959227e-02 -8.56638053e+02],[0. 0. 0. 1.]
[1.46275091e-01 3.66183409e-01 9.18974052e-01 4.82950973e+02],[-2.40125231e-01 -8.88039703e-01  3.92078258e-01  4.06829578e+02],[ 9.59657997e-01 -2.78020139e-01 -4.19682130e-02 -8.45881530e+02],[0. 0. 0. 1.]
[1.79927742e-01 4.68892282e-01 8.64734662e-01 4.73100087e+02],[-1.55870295e-01 -8.54384857e-01  4.95712586e-01  3.97833633e+02],[ 9.71252006e-01 -2.23978893e-01 -8.06411595e-02 -8.51677517e+02],[0. 0. 0. 1.]
[2.00069493e-01 4.26939149e-01 8.81870263e-01 4.70793947e+02],[-3.20040224e-01 -8.22220036e-01  4.70668107e-01  4.07279209e+02],[ 9.26038041e-01 -3.76400286e-01 -2.78634447e-02 -8.47022806e+02],[0. 0. 0. 1.]
[1.74909115e-01 3.94614746e-01 9.02045456e-01 4.82314163e+02],[-2.20176372e-01 -8.77290587e-01  4.26478126e-01  3.95036301e+02],[ 9.59650544e-01 -2.73204007e-01 -6.65612772e-02 -8.56503187e+02],[0. 0. 0. 1.]
[1.60552023e-01 3.92655206e-01 9.05563326e-01 4.74343572e+02],[-1.72658481e-01 -8.92146445e-01  4.17449121e-01  4.05020158e+02],[ 9.71808673e-01 -2.23375489e-01 -7.54406649e-02 -8.50227729e+02],[0. 0. 0. 1.]
[2.38485128e-01 4.10892187e-01 8.79938892e-01 4.73020047e+02],[-3.33382630e-01 -8.16381642e-01  4.71568698e-01  4.00844013e+02],[ 9.12129851e-01 -4.05818464e-01 -5.77105619e-02 -8.43741380e+02],[0. 0. 0. 1.]
[1.82185107e-01 3.93078388e-01 9.01275744e-01 4.81111290e+02],[-2.84353142e-01 -8.56387259e-01  4.30980456e-01  4.05998106e+02],[ 9.41250167e-01 -3.34798810e-01 -4.42479298e-02 -8.43933825e+02],[0. 0. 0. 1.]
[1.93466147e-01 3.87689063e-01 9.01259142e-01 4.72865499e+02],[-2.28613541e-01 -8.75513945e-01  4.25689066e-01  4.08176817e+02],[ 9.54099942e-01 -2.88396467e-01 -8.07513400e-02 -8.54602018e+02],[0. 0. 0. 1.]
[1.65029621e-01 3.42538315e-01 9.24896063e-01 4.77928404e+02],[-3.47823344e-01 -8.57292563e-01  3.79563411e-01  3.97126666e+02],[ 9.22921527e-01 -3.84339647e-01 -2.23358446e-02 -8.46262692e+02],[0. 0. 0. 1.]
[2.08006784e-01 4.12612396e-01 8.86839438e-01 4.82692424e+02],[-2.51682307e-01 -8.53564222e-01  4.56162399e-01  3.96011822e+02],[ 9.45192676e-01 -3.18086669e-01 -7.36999089e-02 -8.52061876e+02],[0. 0. 0. 1.]
[1.72572600e-01 4.55152446e-01 8.73530165e-01 4.71690900e+02],[-1.50723865e-01 -8.64189119e-01  4.80061958e-01  3.94982251e+02],[ 9.73396638e-01 -2.14507383e-01 -8.05330278e-02 -8.47356876e+02],[0. 0. 0. 1.]
[2.10221071e-01 3.87176107e-01 8.97720315e-01 4.81913553e+02],[-2.24105698e-01 -8.74705297e-01  4.29729310e-01  4.02481345e+02],[ 9.51621636e-01 -2.91522393e-01 -9.71131128e-02 -8.45735234e+02],[0. 0. 0. 1.]
[2.26350877e-01 4.15545713e-01 8.80958024e-01 4.81624097e+02],[-2.47044965e-01 -8.50366960e-01  4.64591023e-01  4.01393393e+02],[ 9.42196405e-01 -3.22796830e-01 -8.98228312e-02 -8.46349149e+02],[0. 0. 0. 1.]
[2.15505486e-01 4.03099413e-01 8.89420175e-01 4.83683022e+02],[-3.42156970e-01 -8.21908569e-01  4.55406316e-01  3.99830064e+02],[ 9.14596082e-01 -4.02463872e-01 -3.92025316e-02 -8.54467029e+02],[0. 0. 0. 1.]
[2.11085028e-01 4.35613044e-01 8.75033934e-01 4.77081931e+02],[-3.13953336e-01 -8.17557452e-01  4.82735037e-01  4.01215837e+02],[ 9.25676193e-01 -3.76617962e-01 -3.58119694e-02 -8.43143322e+02],[0. 0. 0. 1.]
[2.35655504e-01 4.31600715e-01 8.70739517e-01 4.78781086e+02],[-3.30682131e-01 -8.06899006e-01  4.89452063e-01  3.98362593e+02],[ 9.13846711e-01 -4.03280072e-01 -4.74275480e-02 -8.52607942e+02],[0. 0. 0. 1.]
[1.53520496e-01 4.04893553e-01 9.01383752e-01 4.74866435e+02],[-1.31744761e-01 -8.95666787e-01  4.24763846e-01  4.05516685e+02],[ 9.79323632e-01 -1.83962543e-01 -8.41606050e-02 -8.56408525e+02],[0. 0. 0. 1.]
[2.18926321e-01 3.85428619e-01 8.96390565e-01 4.72988070e+02],[-2.73602475e-01 -8.57571870e-01  4.35559610e-01  3.98226008e+02],[ 9.36596472e-01 -3.40610140e-01 -8.22908309e-02 -8.49529788e+02],[0. 0. 0. 1.]
[1.90120441e-01 3.90012743e-01 9.00968522e-01 4.72667578e+02],[-2.59626051e-01 -8.65062962e-01  4.29255617e-01  4.02172359e+02],[ 9.46809660e-01 -3.15525167e-01 -6.32086834e-02 -8.49209609e+02],[0. 0. 0. 1.]
